Date,Price,Open,High,Low,Vol.,Change %
1/12/2021,"20,676.70","20,304.10","20,987.20","19,931.60",2.40M,2.30%
1/11/2021,"20,211.00","18,938.10","20,242.00","18,813.90",3.49M,6.72%
1/8/2021,"18,938.10","19,000.20","19,062.30","18,658.70",2.12M,0.66%
1/7/2021,"18,813.90","18,689.70","19,062.30","18,627.60",2.65M,1.00%
1/6/2021,"18,627.60","18,255.10","19,124.40","18,255.10",2.80M,2.04%
1/5/2021,"18,255.10","18,130.90","18,317.20","18,068.80",1.43M,0.17%
1/4/2021,"18,224.10","18,317.20","18,410.30","18,068.80",2.07M,0.17%
12/31/2020,"18,193.00","18,006.70","18,255.10","17,975.70",952.50K,1.03%
12/30/2020,"18,006.70","17,913.60","18,255.10","17,851.50",2.00M,0.52%
12/29/2020,"17,913.60","17,634.20","18,193.00","17,510.00",3.40M,1.41%
12/28/2020,"17,665.20","17,696.30","17,758.40","17,510.00",2.35M,0.00%
12/25/2020,"17,665.20","17,510.00","17,665.20","17,137.40",1.95M,0.53%
12/24/2020,"17,572.10","17,820.50","17,882.50","17,075.30",2.93M,-1.74%
12/23/2020,"17,882.50","17,944.60","18,006.70","17,696.30",1.85M,0.00%
12/22/2020,"17,882.50","17,447.90","18,130.90","17,292.70",3.31M,2.49%
12/21/2020,"17,447.90","17,137.40","17,541.00","17,137.40",2.82M,1.44%
12/18/2020,"17,199.50","17,013.30","17,292.70","16,982.20",4.06M,0.73%
12/17/2020,"17,075.30","17,510.00","17,510.00","16,889.10",5.24M,-2.48%
12/16/2020,"17,510.00","17,385.80","17,603.10","17,168.50",3.01M,1.81%
12/15/2020,"17,199.50","17,478.90","17,634.20","17,106.40",4.95M,-2.12%
12/14/2020,"17,572.10","17,385.80","17,789.40","17,354.80",3.48M,1.25%
12/11/2020,"17,354.80","17,572.10","17,665.20","17,323.70",2.88M,-0.18%
12/10/2020,"17,385.80","17,137.40","17,696.30","17,075.30",4.91M,1.45%
12/9/2020,"17,137.40","16,920.10","17,261.60","16,764.90",2.11M,1.28%
12/8/2020,"16,920.10","16,889.10","16,951.20","16,702.80",2.51M,0.18%
12/7/2020,"16,889.10","16,733.80","16,951.20","16,733.80",2.56M,0.93%
12/4/2020,"16,733.80","16,795.90","16,858.00","16,702.80",2.14M,-0.37%
12/3/2020,"16,795.90","16,640.70","16,889.10","16,547.60",3.67M,0.74%
12/2/2020,"16,671.70","16,485.50","17,137.40","16,454.40",4.32M,1.13%
12/1/2020,"16,485.50","16,392.30","16,640.70","16,299.20",2.70M,-0.75%
11/30/2020,"16,609.70","16,764.90","16,827.00","16,485.50",5.24M,1.33%
11/27/2020,"16,392.30","16,330.20","16,516.50","16,268.10",4.11M,0.57%
11/26/2020,"16,299.20","16,081.90","16,578.60","16,081.90",3.32M,1.16%
11/25/2020,"16,112.90","16,485.50","16,485.50","16,081.90",2.68M,-0.76%
11/24/2020,"16,237.10","16,516.50","16,516.50","16,019.80",2.43M,-1.69%
11/23/2020,"16,516.50","16,578.60","16,733.80","16,330.20",2.85M,0.57%
