"Date","Price","Open","High","Low","Vol.","Change %"
"06/09/2017","5,607.4","5,607.4","5,651.9","5,580.6","21.34M","-0.16%"
"06/08/2017","5,616.3","5,616.3","5,651.9","5,562.8","29.10M","0.32%"
"06/07/2017","5,598.5","5,464.7","5,616.3","5,464.7","44.37M","2.95%"
"06/06/2017","5,438.0","5,331.0","5,438.0","5,313.2","38.49M","1.84%"
"06/05/2017","5,339.9","5,348.8","5,393.4","5,322.1","24.89M","-0.17%"
"06/02/2017","5,348.8","5,402.3","5,411.2","5,322.1","19.23M","-0.99%"
"06/01/2017","5,402.3","5,473.6","5,473.6","5,375.6","21.17M","-0.33%"
"05/31/2017","5,420.2","5,224.0","5,509.3","5,224.0","45.08M","3.58%"
"05/30/2017","5,233.0","5,322.1","5,322.1","5,233.0","18.31M","-1.51%"
"05/29/2017","5,313.2","5,224.0","5,331.0","5,224.0","24.92M","2.05%"
"05/26/2017","5,206.2","5,224.0","5,241.9","5,188.4","9.98M","-0.51%"
"05/25/2017","5,233.0","5,241.9","5,286.4","5,215.1","11.25M","0.00%"
"05/24/2017","5,233.0","5,170.5","5,250.8","5,161.6","17.78M","1.03%"
"05/23/2017","5,179.5","5,188.4","5,188.4","5,152.7","18.17M","0.52%"
"05/22/2017","5,152.7","5,117.1","5,224.0","5,117.1","12.79M","0.70%"
"05/19/2017","5,117.1","5,117.1","5,134.9","5,063.6","13.92M","0.70%"
"05/18/2017","5,081.4","5,170.5","5,206.2","5,081.4","21.17M","-1.89%"
"05/17/2017","5,179.5","5,170.5","5,241.9","5,170.5","13.57M","0.17%"
"05/16/2017","5,170.5","5,259.7","5,268.6","5,170.5","30.72M","-1.69%"
"05/15/2017","5,259.7","5,295.4","5,304.3","5,250.8","18.52M","-0.67%"
"05/12/2017","5,295.4","5,375.6","5,384.5","5,259.7","16.36M","-1.49%"
"05/11/2017","5,375.6","5,366.7","5,420.2","5,366.7","21.54M","0.50%"
"05/10/2017","5,348.8","5,348.8","5,393.4","5,331.0","21.13M","1.01%"
"05/09/2017","5,295.4","5,215.1","5,313.2","5,188.4","23.05M","1.89%"
"05/08/2017","5,197.3","5,206.2","5,224.0","5,188.4","17.92M","-0.17%"
"05/05/2017","5,206.2","5,206.2","5,224.0","5,206.2","13.49M","0.00%"
"05/04/2017","5,206.2","5,197.3","5,241.9","5,188.4","13.82M","0.34%"
"05/03/2017","5,188.4","5,241.9","5,259.7","5,188.4","12.52M","-1.02%"
"04/28/2017","5,241.9","5,206.2","5,250.8","5,197.3","41.68M","-0.34%"
"04/27/2017","5,259.7","5,224.0","5,295.4","5,117.1","34.63M","1.03%"
"04/26/2017","5,206.2","5,295.4","5,295.4","5,117.1","24.72M","-2.01%"
"04/25/2017","5,313.2","5,348.8","5,384.5","5,286.4","17.26M","-0.83%"
"04/24/2017","5,357.8","5,438.0","5,446.9","5,331.0","13.66M","-1.31%"
"04/21/2017","5,429.1","5,420.2","5,464.7","5,384.5","10.61M","0.00%"
"04/20/2017","5,429.1","5,518.2","5,527.1","5,429.1","11.71M","-1.62%"
"04/19/2017","5,518.2","5,429.1","5,527.1","5,402.3","22.52M","2.31%"
"04/18/2017","5,393.4","5,464.7","5,473.6","5,357.8","28.60M","-0.82%"
"04/17/2017","5,438.0","5,518.2","5,536.1","5,411.2","24.17M","-1.29%"
"04/14/2017","5,509.3","5,571.7","5,607.4","5,438.0","18.97M","-1.90%"
"04/13/2017","5,616.3","5,616.3","5,660.9","5,598.5","16.26M","-0.32%"
"04/12/2017","5,634.1","5,669.8","5,678.7","5,598.5","22.87M","-0.94%"
"04/11/2017","5,687.6","5,705.4","5,714.3","5,660.9","16.96M","-0.16%"
"04/10/2017","5,696.5","5,705.4","5,714.3","5,634.1","23.34M","0.31%"
"04/07/2017","5,678.7","5,580.6","5,714.3","5,536.1","23.39M","1.27%"
"04/05/2017","5,607.4","5,705.4","5,714.3","5,598.5","24.79M","-2.63%"
"04/04/2017","5,758.9","5,705.4","5,937.2","5,696.5","41.61M","1.10%"
"04/03/2017","5,696.5","5,473.6","5,705.4","5,464.7","24.27M","4.58%"
"03/31/2017","5,446.9","5,348.8","5,491.5","5,348.8","18.32M","2.00%"
"03/30/2017","5,339.9","5,313.2","5,411.2","5,259.7","43.73M","3.51%"
"03/29/2017","5,158.7","5,111.1","5,182.4","5,093.3","47.70M","1.05%"
"03/28/2017","5,105.2","5,111.1","5,134.9","5,063.6","23.90M","-0.23%"
"03/27/2017","5,117.1","5,146.8","5,152.7","5,105.2","26.33M","0.00%"
"03/24/2017","5,117.1","5,111.1","5,123.0","5,081.4","23.82M","0.70%"
"03/23/2017","5,081.4","5,051.7","5,099.2","5,039.8","21.07M","0.83%"
"03/22/2017","5,039.8","5,111.1","5,123.0","5,027.9","21.07M","-1.05%"
"03/21/2017","5,093.3","5,051.7","5,099.2","5,039.8","29.04M","2.39%"
"03/20/2017","4,974.4","4,968.5","4,986.3","4,944.7","7.77M","1.33%"
"03/17/2017","4,909.1","4,980.4","5,010.1","4,909.1","36.05M","-1.20%"
"03/16/2017","4,968.5","4,968.5","4,980.4","4,956.6","8.02M","0.60%"
"03/15/2017","4,938.8","4,992.3","4,998.2","4,926.9","20.93M","-1.19%"
"03/14/2017","4,998.2","5,016.0","5,016.0","4,992.3","12.95M","-0.12%"
"03/13/2017","5,004.1","5,004.1","5,016.0","4,968.5","16.09M","0.00%"
"03/10/2017","5,004.1","4,992.3","5,111.1","4,986.3","48.70M","0.24%"
"03/09/2017","4,992.3","4,909.1","5,010.1","4,903.1","34.81M","1.82%"
"03/08/2017","4,903.1","4,897.2","4,909.1","4,885.3","16.33M","0.12%"
"03/07/2017","4,897.2","4,920.9","4,932.8","4,885.3","15.54M","0.00%"
"03/06/2017","4,897.2","4,873.4","4,932.8","4,849.6","20.76M","0.49%"
"03/03/2017","4,873.4","4,992.3","4,992.3","4,873.4","14.42M","-2.38%"
"03/02/2017","4,992.3","4,885.3","4,998.2","4,861.5","64.15M","2.69%"
"03/01/2017","4,861.5","4,748.6","4,873.4","4,683.2","30.83M","2.25%"
"02/28/2017","4,754.5","4,814.0","4,837.7","4,754.5","19.12M","-0.62%"
"02/27/2017","4,784.2","4,802.1","4,808.0","4,736.7","32.01M","-0.49%"
"02/24/2017","4,808.0","4,814.0","4,843.7","4,766.4","19.47M","-0.37%"
"02/23/2017","4,825.8","4,778.3","4,861.5","4,766.4","36.70M","1.00%"
"02/22/2017","4,778.3","5,016.0","5,033.9","4,754.5","64.21M","-4.85%"
"02/21/2017","5,022.0","4,974.4","5,039.8","4,950.7","35.06M","0.60%"
"02/20/2017","4,992.3","5,087.3","5,099.2","4,944.7","107.42M","-5.19%"
"02/17/2017","5,265.6","5,289.4","5,301.3","5,206.2","44.09M","-0.89%"
"02/16/2017","5,313.2","5,390.4","5,390.4","5,313.2","36.41M","-1.00%"
"02/15/2017","5,366.7","5,360.7","5,396.4","5,325.1","30.54M","0.11%"
"02/14/2017","5,360.7","5,348.8","5,408.3","5,325.1","36.68M","0.78%"
"02/13/2017","5,319.1","5,289.4","5,337.0","5,289.4","18.58M","0.90%"
"02/10/2017","5,271.6","5,283.5","5,337.0","5,271.6","32.47M","-0.45%"
"02/09/2017","5,295.4","5,337.0","5,366.7","5,283.5","46.72M","-0.22%"
"02/08/2017","5,307.2","5,325.1","5,325.1","5,265.6","26.21M","0.11%"
"02/07/2017","5,301.3","5,253.8","5,354.8","5,253.8","70.64M","1.13%"
"02/06/2017","5,241.9","5,170.6","5,241.9","5,134.9","37.26M","2.08%"
"02/03/2017","5,134.9","5,241.9","5,289.4","5,134.9","43.78M","1.17%"
"02/02/2017","5,075.5","5,051.7","5,075.5","5,016.0","13.90M","0.95%"
"01/25/2017","5,027.9","4,992.3","5,057.6","4,992.3","7.36M","0.71%"
"01/24/2017","4,992.3","5,016.0","5,016.0","4,986.3","9.47M","0.00%"
"01/23/2017","4,992.3","5,004.1","5,051.7","4,992.3","9.69M","-0.47%"
"01/20/2017","5,016.0","4,932.8","5,033.9","4,932.8","9.62M","1.81%"
"01/19/2017","4,926.9","4,909.1","4,974.4","4,903.1","15.47M","-0.36%"
"01/18/2017","4,944.7","4,992.3","5,022.0","4,944.7","22.76M","-0.95%"
"01/17/2017","4,992.3","4,992.3","5,045.7","4,962.5","20.77M","0.00%"
"01/16/2017","4,992.3","5,128.9","5,146.8","4,992.3","33.57M","-2.78%"
"01/13/2017","5,134.9","5,170.6","5,188.4","5,134.9","20.91M","-1.03%"
"01/12/2017","5,188.4","5,253.8","5,253.8","5,188.4","14.73M","-0.80%"
"01/11/2017","5,230.0","5,212.2","5,230.0","5,170.6","13.54M","0.34%"
"01/10/2017","5,212.2","5,134.9","5,241.9","5,134.9","24.20M","1.62%"
"01/09/2017","5,128.9","5,170.6","5,182.4","5,105.2","21.22M","-0.58%"
"01/06/2017","5,158.7","5,253.8","5,283.5","5,134.9","34.09M","-1.59%"
"01/05/2017","5,241.9","5,235.9","5,265.6","5,230.0","24.47M","0.23%"
"01/04/2017","5,230.0","5,265.6","5,289.4","5,212.2","19.02M","0.00%"
"01/03/2017","5,230.0","5,146.8","5,247.8","5,134.9","24.68M","1.97%"
"12/30/2016","5,128.9","5,134.9","5,164.6","5,128.9","15.96M","-0.12%"
"12/29/2016","5,134.9","5,170.6","5,188.4","5,134.9","16.38M","-0.92%"
"12/28/2016","5,182.4","5,134.9","5,200.3","5,128.9","28.11M","1.04%"
"12/27/2016","5,128.9","5,206.2","5,218.1","5,128.9","31.06M","-1.48%"
"12/26/2016","5,206.2","5,158.7","5,212.2","5,146.8","31.02M","1.98%"
"12/23/2016","5,105.2","5,051.7","5,134.9","5,004.1","34.60M","1.06%"
"12/22/2016","5,051.7","5,004.1","5,134.9","4,992.3","49.66M","1.43%"
"12/21/2016","4,980.4","4,932.8","5,010.1","4,920.9","19.50M","1.45%"
