Date,Price,Open,High,Low,Vol.,Change %,Ticker
11/11/2020,"15,150.50","15,212.60","15,398.90","14,871.10",4.08M,-0.20%,KDH
11/10/2020,"15,181.50","15,523.00","15,523.00","15,181.50",2.46M,-1.61%,KDH
11/9/2020,"15,429.90","15,336.80","15,771.40","15,212.60",2.91M,1.02%,KDH
11/6/2020,"15,274.70","15,523.00","15,554.10","15,274.70",1.67M,-1.40%,KDH
11/5/2020,"15,492.00","15,088.40","15,616.20","15,088.40",5.65M,2.67%,KDH
11/4/2020,"15,088.40","15,119.40","15,150.50","15,026.30",1.57M,-0.21%,KDH
11/3/2020,"15,119.40","15,150.50","15,212.60","15,088.40",910.81K,-0.20%,KDH
11/2/2020,"15,150.50","15,274.70","15,305.70","15,088.40",639.98K,-2.40%,KDH
10/30/2020,"15,523.00","14,902.10","15,523.00","14,809.00",3.94M,4.38%,KDH
10/29/2020,"14,871.10","14,902.10","14,933.20","14,777.90",1.50M,-0.21%,KDH
10/28/2020,"14,902.10","15,088.40","15,150.50","14,840.00",1.20M,-1.23%,KDH
10/27/2020,"15,088.40","15,274.70","15,336.80","15,088.40",742.90K,-1.22%,KDH
10/26/2020,"15,274.70","15,181.50","15,367.80","15,150.50",1.10M,0.82%,KDH
10/23/2020,"15,150.50","14,871.10","15,150.50","14,840.00",2.00M,1.88%,KDH
10/22/2020,"14,871.10","14,871.10","14,902.10","14,809.00",2.22M,0.00%,KDH
10/21/2020,"14,871.10","14,902.10","14,902.10","14,809.00",594.81K,0.21%,KDH
10/20/2020,"14,840.00","14,809.00","15,088.40","14,746.90",1.31M,0.84%,KDH
10/19/2020,"14,715.80","14,746.90","14,777.90","14,653.80",1.25M,-0.21%,KDH
10/16/2020,"14,746.90","14,840.00","14,840.00","14,653.80",1.10M,-0.84%,KDH
10/15/2020,"14,871.10","14,871.10","14,871.10","14,653.80",872.27K,-0.21%,KDH
10/14/2020,"14,902.10","14,715.80","14,933.20","14,684.80",421.63K,0.63%,KDH
10/13/2020,"14,809.00","14,902.10","14,964.20","14,653.80",1.37M,-1.04%,KDH
10/12/2020,"14,964.20","15,088.40","15,088.40","14,902.10",1.11M,-0.62%,KDH
10/9/2020,"15,057.30","15,057.30","15,088.40","14,871.10",709.01K,0.00%,KDH
10/8/2020,"15,057.30","15,274.70","15,274.70","14,995.30",792.23K,-1.42%,KDH
10/7/2020,"15,274.70","15,460.90","15,460.90","15,243.60",653.96K,-1.20%,KDH
10/6/2020,"15,460.90","15,492.00","15,616.20","15,367.80",1.48M,0.81%,KDH
10/5/2020,"15,336.80","15,057.30","15,398.90","15,026.30",1.15M,1.86%,KDH
10/2/2020,"15,057.30","15,119.40","15,119.40","14,809.00",1.49M,-0.41%,KDH
10/1/2020,"15,119.40","15,088.40","15,150.50","15,057.30",580.40K,0.41%,KDH
9/30/2020,"15,057.30","15,119.40","15,150.50","14,902.10",872.14K,-0.61%,KDH
9/29/2020,"15,150.50","15,026.30","15,181.50","14,964.20",737.68K,0.83%,KDH
9/28/2020,"15,026.30","15,026.30","15,088.40","14,964.20",453.63K,0.00%,KDH
9/25/2020,"15,026.30","15,181.50","15,181.50","14,995.30",844.97K,-0.82%,KDH
9/24/2020,"15,150.50","15,243.60","15,274.70","15,026.30",896.25K,-0.61%,KDH
9/23/2020,"15,243.60","15,336.80","15,398.90","15,243.60",952.25K,-0.81%,KDH
9/22/2020,"15,367.80","15,119.40","15,492.00","15,119.40",1.53M,1.64%,KDH
9/21/2020,"15,119.40","15,119.40","15,150.50","15,088.40",1.15M,0.21%,KDH
9/18/2020,"15,088.40","14,995.30","15,119.40","14,995.30",530.65K,0.83%,KDH
9/17/2020,"14,964.20","15,150.50","15,150.50","14,902.10",1.17M,-1.23%,KDH
9/16/2020,"15,150.50","15,212.60","15,243.60","15,057.30",455.45K,-0.41%,KDH
9/15/2020,"15,212.60","15,212.60","15,305.70","15,212.60",923.85K,0.41%,KDH
9/14/2020,"15,150.50","15,026.30","15,181.50","14,995.30",680.83K,1.24%,KDH
9/11/2020,"14,964.20","14,871.10","15,026.30","14,777.90",1.21M,0.63%,KDH
9/10/2020,"14,871.10","15,150.50","15,150.50","14,871.10",1.16M,-1.03%,KDH
9/9/2020,"15,026.30","14,902.10","15,119.40","14,840.00",660.66K,-0.62%,KDH
9/8/2020,"15,119.40","15,088.40","15,150.50","14,933.20",677.24K,0.00%,KDH
9/7/2020,"15,119.40","15,492.00","15,492.00","15,119.40",859.51K,-2.40%,KDH
9/4/2020,"15,492.00","15,398.90","15,833.50","15,398.90",1.26M,-0.20%,KDH
9/3/2020,"15,523.00","15,243.60","15,523.00","15,243.60",1.88M,2.25%,KDH
9/1/2020,"15,181.50","15,119.40","15,212.60","15,026.30",792.68K,0.41%,KDH
8/31/2020,"15,119.40","15,212.60","15,274.70","15,057.30",906.49K,-0.61%,KDH
8/28/2020,"15,212.60","15,212.60","15,274.70","15,212.60",718.29K,-0.41%,KDH
8/27/2020,"15,274.70","15,088.40","15,305.70","15,088.40",886.49K,0.20%,KDH
8/26/2020,"15,243.60","15,274.70","15,336.80","14,995.30",610.19K,-0.20%,KDH
8/25/2020,"15,274.70","14,871.10","15,274.70","14,840.00",1.92M,2.93%,KDH
8/24/2020,"14,840.00","14,871.10","14,902.10","14,777.90",685.75K,0.21%,KDH
8/21/2020,"14,809.00","14,467.50","14,840.00","14,467.50",1.45M,2.36%,KDH
8/20/2020,"14,467.50","14,436.40","14,591.70","14,374.30",990.38K,0.00%,KDH
8/19/2020,"14,467.50","14,405.40","14,529.60","14,281.20",457.37K,1.62%,KDH
8/18/2020,"14,236.10","14,236.10","14,294.10","14,207.10",609.96K,0.00%,KDH
8/17/2020,"14,236.10","14,265.10","14,323.10","14,149.20",596.48K,0.00%,KDH
8/14/2020,"14,236.10","14,236.10","14,439.10","14,236.10",753.34K,0.00%,KDH
8/13/2020,"14,236.10","14,091.20","14,236.10","14,004.20",625.63K,1.66%,KDH
8/12/2020,"14,004.20","14,149.20","14,178.20","13,946.20",542.33K,-1.02%,KDH
8/11/2020,"14,149.20","14,207.10","14,265.10","13,975.20",473.17K,-0.41%,KDH
8/10/2020,"14,207.10","14,236.10","14,323.10","14,207.10",930.00K,-0.20%,KDH
8/7/2020,"14,236.10","14,352.10","14,352.10","14,178.20",555.07K,-0.81%,KDH
8/6/2020,"14,352.10","14,265.10","14,439.10","14,265.10",544.17K,0.00%,KDH
8/5/2020,"14,352.10","14,120.20","14,410.10","14,033.20",538.76K,1.64%,KDH
8/4/2020,"14,120.20","13,743.20","14,120.20","13,685.30",615.27K,3.18%,KDH
8/3/2020,"13,685.30","13,395.30","13,743.20","13,395.30",335.82K,3.28%,KDH
7/31/2020,"13,250.30","13,801.20","13,946.20","13,250.30",2.49M,-4.59%,KDH
7/30/2020,"13,888.20","13,685.30","13,888.20","13,685.30",462.13K,1.91%,KDH
7/29/2020,"13,627.30","13,627.30","13,627.30","13,279.30",449.36K,-0.84%,KDH
7/28/2020,"13,743.20","13,192.30","13,743.20","13,192.30",670.70K,3.04%,KDH
7/27/2020,"13,337.30","13,569.30","13,917.20","13,337.30",1.20M,-5.74%,KDH
7/24/2020,"14,149.20","14,381.10","14,381.10","13,888.20",1.78M,-1.61%,KDH
7/23/2020,"14,381.10","14,352.10","14,410.10","14,294.10",519.13K,0.20%,KDH
7/22/2020,"14,352.10","14,381.10","14,410.10","14,236.10",779.65K,0.00%,KDH
7/21/2020,"14,352.10","14,381.10","14,555.10","14,207.10",895.45K,0.61%,KDH
7/20/2020,"14,265.10","14,526.10","14,526.10","14,265.10",1.25M,-1.80%,KDH
7/17/2020,"14,526.10","14,700.00","14,700.00","14,468.10",618.75K,-1.18%,KDH
7/16/2020,"14,700.00","14,323.10","14,700.00","14,265.10",1.99M,3.47%,KDH
7/15/2020,"14,207.10","14,091.20","14,207.10","14,062.20",918.54K,1.24%,KDH
7/14/2020,"14,033.20","14,004.20","14,091.20","14,004.20",392.89K,0.00%,KDH
7/13/2020,"14,033.20","14,062.20","14,265.10","14,004.20",1.58M,0.21%,KDH
7/10/2020,"14,004.20","13,859.20","14,004.20","13,801.20",738.24K,0.62%,KDH
7/9/2020,"13,917.20","13,917.20","13,917.20","13,772.20",1.01M,0.00%,KDH
7/8/2020,"13,917.20","13,888.20","13,917.20","13,830.20",605.37K,-0.21%,KDH
7/7/2020,"13,946.20","14,004.20","14,004.20","13,917.20",459.35K,-0.41%,KDH
7/6/2020,"14,004.20","13,917.20","14,062.20","13,917.20",535.36K,0.62%,KDH
7/3/2020,"13,917.20","13,656.30","14,033.20","13,656.30",1.01M,2.13%,KDH
7/2/2020,"13,627.30","13,453.30","13,627.30","13,279.30",1.18M,0.86%,KDH
7/1/2020,"13,511.30","13,453.30","13,540.30","13,337.30",399.13K,0.43%,KDH
6/30/2020,"13,453.30","13,453.30","13,511.30","13,192.30",803.46K,0.00%,KDH
6/29/2020,"13,453.30","13,685.30","13,801.20","13,221.30",1.24M,-1.69%,KDH
6/26/2020,"13,685.30","13,801.20","13,830.20","13,656.30",1.04M,-1.05%,KDH
6/25/2020,"13,830.20","13,801.20","13,888.20","13,627.30",1.10M,-0.62%,KDH
6/24/2020,"13,917.20","13,975.20","14,033.20","13,801.20",1.18M,-0.41%,KDH
6/23/2020,"13,975.20","14,091.20","14,091.20","13,859.20",1.52M,-0.62%,KDH
6/22/2020,"14,062.20","14,207.10","14,207.10","13,888.20",957.19K,-0.21%,KDH
6/19/2020,"14,091.20","13,598.30","14,149.20","13,598.30",1.48M,3.85%,KDH
6/18/2020,"13,569.30","13,366.30","13,627.30","13,366.30",621.02K,0.43%,KDH
6/17/2020,"13,511.30","13,540.30","13,540.30","13,453.30",505.84K,0.00%,KDH
6/16/2020,"13,511.30","13,395.30","13,511.30","13,395.30",622.27K,1.30%,KDH
6/15/2020,"13,337.30","13,511.30","13,569.30","13,221.30",1.06M,-0.86%,KDH
6/12/2020,"13,453.30","13,279.30","13,482.30","13,163.40",1.63M,-0.64%,KDH
6/11/2020,"13,540.30","13,743.20","13,917.20","13,337.30",1.80M,-0.85%,KDH
6/10/2020,"13,656.30","13,424.30","13,656.30","13,424.30",2.46M,0.21%,KDH
6/9/2020,"13,627.30","13,859.20","13,975.20","13,627.30",1.51M,-1.67%,KDH
6/8/2020,"13,859.20","13,540.30","14,033.20","13,540.30",1.19M,2.36%,KDH
6/5/2020,"13,540.30","13,366.30","13,598.30","13,279.30",1.71M,1.52%,KDH
6/4/2020,"13,337.30","13,453.30","13,685.30","13,308.30",2.26M,-0.86%,KDH
6/3/2020,"13,453.30","12,815.40","13,453.30","12,757.40",2.29M,4.27%,KDH
6/2/2020,"12,902.40","12,989.40","13,047.40","12,786.40",1.36M,0.00%,KDH
6/1/2020,"12,902.40","12,815.40","12,902.40","12,728.40",845.84K,1.14%,KDH
5/29/2020,"12,757.40","12,612.50","12,786.40","12,612.50",1.08M,1.15%,KDH
5/28/2020,"12,612.50","12,641.50","12,699.40","12,554.50",328.09K,0.23%,KDH
5/27/2020,"12,583.50","12,844.40","12,873.40","12,496.50",740.96K,-1.59%,KDH
5/26/2020,"12,786.40","12,583.50","12,786.40","12,583.50",1.08M,1.61%,KDH
5/25/2020,"12,583.50","12,409.50","12,612.50","12,351.50",650.95K,1.88%,KDH
5/22/2020,"12,351.50","12,786.40","12,786.40","12,322.50",1.11M,-3.18%,KDH
