Date,Price,Open,High,Low,Vol.,Change %,Ticker,WCP,WAP,VWAP,ZLMA,FWMA,Decay,SMA,Bollinger_Upper,Bollinger_Lower,Avg_Gain,Avg_Loss,RSI,MACD,MACD_Signal,MACD_Hist
2016-03-07,9060.1,9134.6,9209.2,9060.1,2960000.0,-0.0081999999999999,FPT,9097.375,9109.800000000001,8939.706618009976,9038.744169199881,9066.339085262563,8963.306694136638,8889.475,9187.570222334973,8591.379777665028,36.97569633897052,23.066992007805624,61.58234642229481,98.17831719256719,75.2556692016667,22.922647990900487
2016-03-08,8948.2,9060.1,9078.7,8948.2,4600000.0,-0.0123,FPT,8980.825,8991.7,8948.437812836595,9032.954171874704,9021.223184641445,8963.968068092854,8906.255000000001,9175.071552396043,8637.43844760396,34.3345751719012,29.41220686439091,53.86087591426019,88.24356072593946,77.85324750652126,10.390313219418204
2016-03-09,8948.2,8910.9,8985.5,8910.9,1640000.0,0.0,FPT,8948.2,8948.2,8961.840063233965,9027.445768877225,8993.334850367026,8970.529575842293,8919.304999999998,9167.928303942219,8670.681696057778,31.8821055167654,27.311334945505845,53.86087591426019,79.45429499595048,78.17345700440711,1.2808379915433648
2016-03-10,8985.5,8948.2,9004.1,8929.6,1120000.0,0.0042,FPT,8976.175,8973.066666666668,8968.00887554867,9028.984280084485,8990.35120835686,8974.631010763043,8935.15,9155.256122729797,8715.043877270202,32.269097979853534,25.360525306541142,55.99394224648991,74.63815466623419,77.46639653677252,-2.828241870538335
2016-03-11,9041.4,9022.8,9116.0,9022.8,3040000.0,0.0062,FPT,9055.4,9060.066666666666,8979.99560233039,9039.989870618461,9009.85464144551,8983.922449513891,8950.065,9155.30096971083,8744.829030289171,33.957019552721114,23.549059213216776,59.04944360914172,74.4735073461834,76.8678186986547,-2.3943113524713056
2016-03-14,9078.7,9134.6,9209.2,9078.7,4090000.0,0.0040999999999999,FPT,9111.325,9122.2,8997.621280400572,9055.778212342477,9036.161547148504,8998.184505570342,8968.705,9146.44519448855,8790.96480551145,34.19580387038397,21.866983555129863,60.995547029867566,76.47130779519102,76.78851651796197,-0.3172087227709426
2016-03-15,9041.4,9116.0,9153.3,9041.4,2200000.0,-0.0040999999999999,FPT,9069.375,9078.699999999999,9005.819969440527,9062.14392325631,9038.166007905138,9003.24592260871,8979.89,9145.349461086826,8814.430538913173,31.75324645107083,22.969341872620667,58.02584896614555,74.18956959660318,76.26872713369022,-2.079157537087042
2016-03-16,9041.4,9041.4,9078.7,9022.8,1990000.0,0.0,FPT,9046.075,9047.633333333333,9012.907956989247,9067.166703181181,9039.408170525126,9009.687785178037,8989.210000000001,9145.811188407084,8832.608811592918,29.485157418851486,21.328674596004905,58.02584896614555,71.55641779319012,75.3262652655902,-3.7698474724000732
2016-03-17,9041.4,9060.1,9116.0,9041.4,2540000.0,0.0,FPT,9060.05,9066.266666666668,9018.841124759152,9071.044609621438,9040.168362507058,9013.249846089195,8992.94,9150.842040252093,8835.037959747908,27.37907474607638,19.805197839147414,58.02584896614555,68.67794936837163,73.99660208614648,-5.318652717774853
2016-03-18,9190.6,9134.6,9302.4,9134.6,10250000.0,0.0165,FPT,9204.55,9209.199999999999,9053.431332388003,9101.01591525964,9097.63656691135,9057.493227106152,9007.855,9181.31752712264,8834.39247287736,36.080569407070975,18.390540850636885,66.23799154518875,77.54207867236619,74.70569740339042,2.836381268975771
2016-03-21,9171.9,9190.6,9227.8,9134.6,2860000.0,-0.002,FPT,9176.55,9178.1,9062.2024750934,9122.970513160666,9126.005471485038,9066.32907567183,9017.175,9205.014627846353,8829.335372153646,33.503385877994475,18.412645075591445,64.5337967148283,82.11150101968451,76.18685812664924,5.924642893035269
