Date,Price,Open,High,Low,Vol.,Change %,Ticker
7/9/2020,"9,756.90","9,739.60","9,808.90","9,687.60",21100000.0,0.36%,HPG
7/8/2020,"9,722.30","9,756.90","9,860.90","9,670.30",25450000.0,-1.06%,HPG
7/7/2020,"9,826.20","9,618.30","10,016.90","9,601.00",77970000.0,2.72%,HPG
7/6/2020,"9,566.30","9,601.00","9,618.30","9,514.30",27140000.0,0.36%,HPG
7/3/2020,"9,531.60","9,601.00","9,618.30","9,497.00",22550000.0,-0.36%,HPG
7/2/2020,"9,566.30","9,531.60","9,618.30","9,497.00",36140000.0,0.73%,HPG
7/1/2020,"9,497.00","9,358.30","9,531.60","9,323.70",30140000.0,2.24%,HPG
6/30/2020,"9,289.00","9,289.00","9,497.00","9,202.40",41220000.0,0.56%,HPG
6/29/2020,"9,237.00","9,323.70","9,358.30","9,098.40",34410000.0,-2.02%,HPG
6/26/2020,"9,427.60","9,497.00","9,566.30","9,358.30",26030000.0,-0.37%,HPG
6/25/2020,"9,462.30","9,254.30","9,635.60","9,202.40",67860000.0,1.11%,HPG
6/24/2020,"9,358.30","9,358.30","9,479.60","9,289.00",18120000.0,0.00%,HPG
6/23/2020,"9,358.30","9,462.30","9,601.00","9,271.70",31640000.0,-1.10%,HPG
6/22/2020,"9,462.30","9,497.00","9,635.60","9,341.00",27050000.0,-0.18%,HPG
6/19/2020,"9,479.60","9,358.30","9,479.60","9,358.30",29280000.0,2.05%,HPG
6/18/2020,"9,289.00","8,994.40","9,306.30","8,959.70",25170000.0,2.10%,HPG
6/17/2020,"9,098.40","9,081.00","9,167.70","8,977.10",19640000.0,0.19%,HPG
6/16/2020,"9,081.00","9,011.70","9,150.40","8,890.40",25090000.0,3.15%,HPG
6/15/2020,"8,803.80","9,115.70","9,185.00","8,786.40",31500000.0,-4.15%,HPG
6/12/2020,"9,185.00","8,491.80","9,185.00","8,491.80",52490000.0,3.92%,HPG
6/11/2020,"8,838.40","9,306.30","9,410.30","8,838.40",63590000.0,-5.56%,HPG
6/10/2020,"9,358.30","9,358.30","9,497.00","9,237.00",27440000.0,-0.37%,HPG
6/9/2020,"9,393.00","9,687.60","9,704.90","9,341.00",51970000.0,-2.17%,HPG
6/8/2020,"9,601.00","9,531.60","9,739.60","9,462.30",47660000.0,2.40%,HPG
6/5/2020,"9,375.70","9,185.00","9,462.30","9,081.00",37620000.0,1.69%,HPG
6/4/2020,"9,219.70","9,358.30","9,497.00","9,219.70",37500000.0,-1.30%,HPG
6/3/2020,"9,341.00","9,375.70","9,427.60","9,219.70",33410000.0,-0.37%,HPG
6/2/2020,"9,375.70","9,635.60","9,635.60","9,341.00",31940000.0,-2.17%,HPG
6/1/2020,"9,583.60","9,635.60","9,635.60","9,514.30",22300000.0,0.91%,HPG
5/29/2020,"9,497.00","9,462.30","9,601.00","9,358.30",34970000.0,0.74%,HPG
5/28/2020,"9,427.60","9,531.60","9,566.30","9,323.70",40270000.0,0.00%,HPG
5/27/2020,"9,427.60","9,912.90","9,912.90","9,427.60",54980000.0,-4.23%,HPG
5/26/2020,"9,843.60","9,479.60","9,843.60","9,462.30",31980000.0,4.03%,HPG
5/25/2020,"9,462.30","9,531.60","9,635.60","9,410.30",31050000.0,0.18%,HPG
5/22/2020,"9,445.00","9,133.00","9,514.30","9,098.40",45180000.0,2.83%,HPG
5/21/2020,"9,185.00","9,133.00","9,202.40","9,046.40",31170000.0,0.19%,HPG
5/20/2020,"9,167.70","9,011.70","9,219.70","8,890.40",32200000.0,1.15%,HPG
